date,symbol,name,price,mavg_price
1150820,00952,凱基台灣AI50,17.63,17.96
1150820,00953B,群益優選非投等債,9.70,9.74
1150820,00954,中信日本半導體,18.28,19.12
1150820,00956,中信日經高股息,13.23,13.23
1150820,00960,野村全球航運龍頭,20.89,19.44
1150820,00961,FT臺灣永續高息,13.10,13.13
1150820,00962,台新AI優息動能,14.92,15.07
1150820,00963,中信全球高股息,13.11,13.27
1150820,00964,中信亞太高股息,14.59,14.27
1150820,00965,元大航太防衛科技,26.44,26.73
1150820,00971,野村美國研發龍頭,17.64,17.78
1150820,00972,野村日本動能高息,21.59,21.70
1150820,009800,中信NASDAQ,13.08,13.19
1150820,009801,中信美國創新科技,11.24,12.26
1150820,009802,富邦旗艦50,18.59,18.96
1150820,009803,玉山市值動能50,20.93,21.07
1150820,009804,聯邦台精彩50,21.83,21.90
1150820,009805,台新美國電力基建,15.77,16.13
1150820,009808,華南永昌優選50,29.63,30.44
1150820,009809,富邦淨零ESG50,17.26,17.37
1150820,00980A,主動野村臺灣優選,24.13,24.07
1150820,009810,玉山全球藍籌100,21.47,21.65
1150820,009811,統一美國50,13.32,13.43
1150820,009812,野村日本東證,12.74,12.95
1150820,009813,貝萊德標普卓越50,11.32,11.42
1150820,009816,凱基台灣TOP50,15.13,15.12
1150820,009817,國泰日本不動產,9.15,9.18
1150820,009818,華南永昌NASDAQxT,19.87,20.23
1150820,009819,中信數據及電力,10.02,10.28
1150820,00981A,主動統一台股增長,29.25,28.94
1150820,00981T,平衡凱基雙核收息,11.77,11.91
1150820,009820,元大納斯達克精選,9.80,9.97
1150820,009821,野村稀土關鍵資源,15.16,14.48
1150820,009824,群益美國科技巨頭,10.03,10.14
1150820,009826,貝萊德世界股票,10.16,10.24
1150820,00982A,主動群益台灣強棒,21.80,22.40
1150820,00982D,主動富邦動態入息,9.76,9.83
1150820,00982T,平衡兆豐台美動能,14.86,15.23
1150820,00983A,主動中信ARK創新,12.33,11.82
1150820,00983D,主動富邦複合收益,9.98,10.06
1150820,00984A,主動安聯台灣高息,15.18,15.07
1150820,00984D,主動聯博全球非投,10.06,10.12
1150820,00985A,主動野村台灣50,22.48,21.96
1150820,00985B,群益ESG投等債0-5,10.27,10.32
1150820,00986A,主動台新龍頭成長,14.40,14.78
1150820,00987A,主動台新優勢成長,16.00,15.52
1150820,00988A,主動統一全球創新,16.51,16.83
1150820,00989A,主動摩根美國科技,16.91,17.25
1150820,00990A,主動元大AI新經濟,15.55,16.00
1150820,00991A,主動復華未來50,17.91,17.47
1150820,00991B,貝萊德A級公司債,14.95,14.99
1150820,00992A,主動群益科技創新,17.78,17.16
1150820,00993A,主動安聯台灣,13.30,13.12
1150820,00994A,主動第一金台股優,17.08,16.77
1150820,00995A,主動中信台灣卓越,17.01,16.84
1150820,00996A,主動兆豐台灣豐收,13.74,13.64
1150820,00997A,主動群益美國增長,11.30,11.52
1150820,00999A,主動野村臺灣高息,11.21,11.02
1150820,01001T,土銀富邦R1,11.28,11.32
1150820,01002T,土銀國泰R1,13.10,13.26
1150820,01004T,土銀富邦R2,10.25,10.19
1150820,01007T,兆豐國泰R2,11.55,11.77
1150820,01009T,王道圓滿R1,,5.66
1150820,01010T,京城樂富R1,,10.00
1150820,020000,富邦特選蘋果N,30.77,30.89
1150820,020011,統一微波高息20N,,16.40
1150820,020012,富邦行動通訊N,,22.88
1150820,02001L,富邦蘋果正二N,139.40,138.22
1150820,020020,元大台股領航N,,27.03
1150820,020028,元大特選電動車N,20.00,19.88
1150820,020029,元大ESG高股息N,17.89,18.14
1150820,020030,統一智慧電動車N,,18.45
1150820,020031,統一IC設計臺灣N,9.80,10.06
1150820,020032,元大綠能N,,10.49
1150820,020034,元大IC設計N,14.54,14.49
1150820,020036,元大金融配息N,,10.16
1150820,020037,元大金融高股息N,11.20,11.37
1150820,020038,元大ESG配息N,13.85,13.96
1150820,020039,元大加權N,14.29,14.33
1150820,03001T,啟碁台新5A售02,,0.91
1150820,03002T,台積電群益5A售12,0.26,0.56
1150820,03003T,聯發科群益5A售09,0.50,0.29
1150820,03004T,臺股指群益5C售05,,0.11
1150820,03005T,臺股指群益5C售06,,0.25
1150820,03006T,臺股指群益5C售07,,0.27
1150820,03006X,元展06,,247.25
1150820,030079,南亞統一59購01,14.40,13.30
1150820,03007T,台灣50元大5B售05,,0.15
1150820,030088,玉晶光統一59購01,1.30,0.87
1150820,03008T,臺股指元大5A售29,0.29,0.31
1150820,030092,訊芯統一59購01,,4.17
1150820,03009T,聯發科凱基64售03,0.20,0.18
1150820,03010T,台化凱基5A售05,,0.23
1150820,03011T,台積電凱基67售14,,1.22
1150820,03012T,聯發科凱基63售01,,0.11
1150820,03012X,元展12,66.50,67.94
1150820,030135,飛捷國票59購01,0.57,0.86
1150820,03013T,大立光凱基5A售06,0.10,0.12
1150820,03013X,元展13,,69.33
1150820,03014T,臺股指凱基5A售47,,0.09
1150820,03014X,元展14,,60.00
1150820,03015T,臺股指凱基5C售16,0.29,0.32
1150820,030169,台灣50凱基5B購01,,37.50
1150820,03016T,臺股指凱基5C售17,0.21,0.22
1150820,030174,鴻海凱基63購01,4.00,5.47
1150820,03018T,玉晶光國票5A售03,,0.35
1150820,03019X,元展19,,13.00
1150820,03021T,華泰台新5A售01,1.66,1.62
1150820,03022T,大立光台新5A售03,,0.12
1150820,03023T,眾達群益5A售03,,1.61
1150820,030240,南亞統一5A購01,7.35,7.18
1150820,030241,南亞統一62購01,,8.65
1150820,030243,台化統一62購01,1.85,1.96
1150820,030245,台玻統一5A購01,,2.42
1150820,030246,宇隆統一5A購01,,0.57
1150820,03024T,臺股指群益65售04,0.96,1.05
1150820,030250,同欣電統一5B購01,,1.74
1150820,030251,AES統一5C購01,0.07,0.10
1150820,03026T,滬深2X國票5B售01,,0.60
1150820,03027T,華邦電國票5B售02,,0.09
1150820,03028T,南亞科國票5B售02,,0.05
1150820,03029X,元展26,,88.00
1150820,03031T,台灣50台新5A售06,,0.13
1150820,03032T,國巨台新5A售05,0.14,0.13
1150820,03033T,S&P正2凱基5B售01,0.25,0.27
1150820,03034T,美費半凱基5A售02,,0.07
1150820,030350,滬深2X元大5A購01,,1.12
1150820,03035T,台積電凱基5A售11,0.22,0.27
1150820,03035X,元展32,14.70,13.90
1150820,03036T,華邦電凱基5A售03,0.07,0.12
1150820,03037T,南亞科凱基5A售03,,0.05
1150820,03038T,群創凱基5A售04,0.03,0.08
1150820,03039T,臺股指凱基65售03,,0.45
1150820,03039X,元展36,,78.25
1150820,03040T,力積電元大5A售07,,0.26
1150820,03041T,聯發科永豐5A售06,,0.10
1150820,03042T,群創元大5A售04,0.03,0.04
1150820,03043T,臺股指元大5A售30,,0.63
1150820,03044T,T50正2凱基5A售08,,0.26
1150820,03045T,鴻海凱基5C售07,0.34,0.30
1150820,03046T,台積電凱基5C售09,0.08,0.15
1150820,03047T,台灣50富邦5A售03,0.11,0.16
1150820,03047X,元展44,,30.90
1150820,03048T,台灣50富邦5A售04,0.16,0.18
1150820,030499,台光電國票5A購01,,37.25
1150820,03049T,台灣50富邦5C售12,,0.22
1150820,03050T,T50正2富邦5B售04,0.33,0.37
1150820,03050X,元展47,,8.25
1150820,030518,滬深2X凱基59購02,,1.65
1150820,03051T,臺股指富邦5A售14,0.12,0.17
1150820,03052T,臺股指富邦5A售15,0.11,0.14
1150820,03053T,臺股指富邦5A售16,,0.14
1150820,03054T,臺股指富邦5A售17,,0.18
1150820,03055T,臺股指富邦5B售10,0.21,0.24
1150820,03056T,T50正2凱基63售04,0.80,0.78
1150820,030573,台積電統一68購01,2.31,2.32
1150820,030576,智邦統一5A購01,,2.43
1150820,030578,金像電統一62購01,2.20,2.50
1150820,03057T,台積電凱基67售15,,0.89
1150820,030580,台光電統一62購01,4.58,4.45
1150820,03058T,臺股指凱基5A售48,,0.16
1150820,030591,緯創統一59購01,1.50,1.74
1150820,030592,緯創統一5A購01,0.95,1.42
1150820,03059T,日本2X元大5B售01,0.18,0.20
1150820,030608,緯穎統一5B購01,3.10,2.98
1150820,030609,緯穎統一62購01,2.62,2.47
1150820,03060T,臺股指群益5A售19,,0.31
1150820,03061T,臺股指群益5A售20,0.18,0.18
1150820,03062T,臺股指群益5A售21,0.21,0.21
1150820,03063T,臺股指群益5A售22,,0.42
1150820,03065T,T50正2群益5A售06,,0.34
1150820,03066T,T50正2群益5A售07,,0.29
1150820,03067T,T50正2群益5A售08,,0.45
1150820,03068T,台積電群益5A售14,0.37,0.36
1150820,03069T,台積電群益5A售15,,0.57
1150820,03073T,力積電群益5A售03,0.31,0.37
1150820,03074T,台積電富邦74售03,0.58,0.59
1150820,03075T,群創富邦61售01,,0.10
1150820,030766,T50反1中信62購01,0.07,0.07
1150820,030767,臺指反中信62購01,0.07,0.06
1150820,03076T,緯穎富邦61售04,0.11,0.14
1150820,03077T,台積電凱基63售08,,0.83
1150820,03078T,臺股指凱基5A售49,,0.28
1150820,030793,鴻海凱基68購01,3.65,4.24
1150820,03079T,台灣50元大5A售10,0.34,0.40
